Name	Unmodified%	NHEJ%	HDR%	Mixed_HDR-NHEJ%	Reads_aligned	Reads_total
R92	65.0	35.0	0.0	0.0	60.0	197
R93	NA	NA	NA	NA	NA	0
R94	NA	NA	NA	NA	NA	0
R95	92.85714285714286	7.142857142857142	0.0	0.0	14.0	61
R96	17.5	82.5	0.0	0.0	40.0	49
R97	93.93939393939394	6.0606060606060606	0.0	0.0	33.0	44
R98	52.38095238095239	47.61904761904761	0.0	0.0	21.0	31
R99	NA	NA	NA	NA	NA	0
R100	100.0	0.0	0.0	0.0	25.0	25
R101	95.83333333333334	4.166666666666666	0.0	0.0	24.0	26
R102	NA	NA	NA	NA	NA	0
R103	90.9090909090909	9.090909090909092	0.0	0.0	11.0	12
R104	83.33333333333334	16.666666666666664	0.0	0.0	12.0	53
R105	100.0	0.0	0.0	0.0	7.0	11
R106	83.33333333333334	16.666666666666664	0.0	0.0	12.0	53
R107	73.68421052631578	26.31578947368421	0.0	0.0	38.0	43
R108	90.9090909090909	9.090909090909092	0.0	0.0	11.0	12
R109	NA	NA	NA	NA	NA	0
R110	0.0	100.0	0.0	0.0	10.0	19
R111	NA	NA	NA	NA	NA	0
R112	65.0	35.0	0.0	0.0	60.0	197
R113	NA	NA	NA	NA	NA	0
R114	NA	NA	NA	NA	NA	0
R115	92.85714285714286	7.142857142857142	0.0	0.0	14.0	61
R116	100.0	0.0	0.0	0.0	1.0	1
R117	65.0	35.0	0.0	0.0	60.0	197
R118	NA	NA	NA	NA	NA	0
R119	NA	NA	NA	NA	NA	0
R120	92.85714285714286	7.142857142857142	0.0	0.0	14.0	61
R121	NA	NA	NA	NA	NA	0
R122	100.0	0.0	0.0	0.0	9.0	10
R123	100.0	0.0	0.0	0.0	13.0	73
R124	NA	NA	NA	NA	NA	0
R125	100.0	0.0	0.0	0.0	6.0	39
R126	100.0	0.0	0.0	0.0	20.0	20
R127	100.0	0.0	0.0	0.0	11.0	11
R128	100.0	0.0	0.0	0.0	1.0	1
R129	100.0	0.0	0.0	0.0	11.0	11
R130	100.0	0.0	0.0	0.0	1.0	1
R131	NA	NA	NA	NA	NA	0
R132	NA	NA	NA	NA	NA	0
R133	93.33333333333333	6.666666666666667	0.0	0.0	30.0	30
R134	57.14285714285714	42.857142857142854	0.0	0.0	7.0	9
R135	NA	NA	NA	NA	NA	0
R136	100.0	0.0	0.0	0.0	24.0	26
R137	NA	NA	NA	NA	NA	0
