Name	Unmodified%	NHEJ%	HDR%	Mixed_HDR-NHEJ%	Reads_aligned	Reads_total
R92	67.5	32.5	0.0	0.0	80.0	224
R93	NA	NA	NA	NA	NA	0
R94	NA	NA	NA	NA	NA	0
R95	91.66666666666666	8.333333333333332	0.0	0.0	12.0	38
R96	19.35483870967742	80.64516129032258	0.0	0.0	62.0	83
R97	85.1063829787234	14.893617021276595	0.0	0.0	47.0	63
R98	56.25	43.75	0.0	0.0	32.0	39
R99	NA	NA	NA	NA	NA	0
R100	100.0	0.0	0.0	0.0	30.0	30
R101	100.0	0.0	0.0	0.0	19.0	20
R102	NA	NA	NA	NA	NA	0
R103	100.0	0.0	0.0	0.0	11.0	11
R104	94.73684210526315	5.263157894736842	0.0	0.0	19.0	69
R105	100.0	0.0	0.0	0.0	14.0	23
R106	94.73684210526315	5.263157894736842	0.0	0.0	19.0	69
R107	63.1578947368421	36.84210526315789	0.0	0.0	38.0	48
R108	100.0	0.0	0.0	0.0	11.0	11
R109	NA	NA	NA	NA	NA	0
R110	0.0	100.0	0.0	0.0	6.0	7
R111	NA	NA	NA	NA	NA	0
R112	67.5	32.5	0.0	0.0	80.0	224
R113	NA	NA	NA	NA	NA	0
R114	NA	NA	NA	NA	NA	0
R115	91.66666666666666	8.333333333333332	0.0	0.0	12.0	38
R116	50.0	50.0	0.0	0.0	2.0	2
R117	67.5	32.5	0.0	0.0	80.0	224
R118	NA	NA	NA	NA	NA	0
R119	NA	NA	NA	NA	NA	0
R120	91.66666666666666	8.333333333333332	0.0	0.0	12.0	38
R121	NA	NA	NA	NA	NA	0
R122	100.0	0.0	0.0	0.0	15.0	18
R123	100.0	0.0	0.0	0.0	11.0	92
R124	NA	NA	NA	NA	NA	0
R125	100.0	0.0	0.0	0.0	10.0	31
R126	100.0	0.0	0.0	0.0	21.0	21
R127	100.0	0.0	0.0	0.0	12.0	12
R128	100.0	0.0	0.0	0.0	8.0	8
R129	100.0	0.0	0.0	0.0	12.0	12
R130	100.0	0.0	0.0	0.0	8.0	8
R131	NA	NA	NA	NA	NA	0
R132	NA	NA	NA	NA	NA	0
R133	100.0	0.0	0.0	0.0	36.0	36
R134	61.111111111111114	38.88888888888889	0.0	0.0	18.0	19
R135	NA	NA	NA	NA	NA	0
R136	96.29629629629629	3.7037037037037033	0.0	0.0	27.0	29
R137	NA	NA	NA	NA	NA	0
