DEBUG 26-06 11:51:39,556 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 26-06 11:51:39,557 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 26-06 11:51:39,557 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 26-06 11:51:39,558 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 26-06 11:51:39,558 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 26-06 11:51:39,559 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 26-06 11:51:39,559 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 26-06 11:51:39,560 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 26-06 11:51:39,560 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 26-06 11:51:39,561 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 26-06 11:51:39,561 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 26-06 11:51:39,562 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 26-06 11:51:39,563 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 26-06 11:51:39,563 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 26-06 11:51:39,564 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 26-06 11:51:39,575 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 26-06 11:51:39,576 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 26-06 11:51:39,576 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 26-06 11:51:39,577 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
INFO  26-06 11:54:06,044 (ClosePGDSpiderQuestionWindowAction.java:actionPerformed:35)  -SPID file was not saved.
DEBUG 26-06 11:59:32,008 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 26-06 11:59:32,009 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 26-06 11:59:32,010 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 26-06 11:59:32,149 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 26-06 11:59:32,150 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 26-06 11:59:32,151 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 26-06 11:59:32,151 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 26-06 11:59:32,152 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 26-06 11:59:32,153 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 26-06 11:59:32,153 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 26-06 11:59:32,154 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 26-06 11:59:32,154 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 26-06 11:59:32,155 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 26-06 11:59:32,156 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 26-06 11:59:32,156 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 26-06 11:59:32,157 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 26-06 11:59:32,157 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 26-06 11:59:32,158 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 26-06 11:59:32,159 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 26-06 11:59:32,159 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 26-06 11:59:32,160 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 26-06 11:59:32,161 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 26-06 11:59:32,161 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 26-06 11:59:32,162 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 26-06 11:59:32,163 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 26-06 11:59:32,164 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 26-06 11:59:32,164 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 26-06 11:59:32,165 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 26-06 11:59:32,166 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 26-06 11:59:32,166 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 26-06 11:59:32,167 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 26-06 11:59:32,167 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 26-06 11:59:32,168 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 26-06 11:59:32,168 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 26-06 11:59:32,169 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 26-06 11:59:32,169 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 26-06 11:59:32,170 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 26-06 11:59:32,170 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 26-06 11:59:32,171 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 26-06 11:59:32,171 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 26-06 11:59:32,172 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 26-06 11:59:32,173 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 26-06 11:59:32,173 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 26-06 11:59:32,184 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 26-06 11:59:32,185 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 26-06 11:59:32,186 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 26-06 11:59:32,186 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 26-06 11:59:41,534 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
INFO  26-06 11:59:41,601 (PGDSpiderSpidEditor.java:changeFormat:470)  -Changed SPID file conversion to: VCF -> MIGRATE
DEBUG 26-06 12:07:34,097 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
INFO  26-06 12:07:34,104 (SaveApplySpidFileAction.java:actionPerformed:123)  -Saved SPID file as: test.spid
INFO  26-06 12:07:34,330 (PGDSpiderGUI.java:setSpidFile:661)  -loading SPID file: test.spid
DEBUG 26-06 12:07:34,334 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 26-06 12:07:47,206 (PGDSpiderGUI.java:closePGDSpider:526)  -Exiting PGDSpider
DEBUG 26-06 12:07:47,207 (PGDSpiderGUI.java:closePGDSpider:527)  -Save window size
DEBUG 26-06 12:07:47,615 (PGDSpiderGUI.java:closePGDSpider:531)  -Shutdown java vm ...
