Name	Unmodified%	NHEJ%	HDR%	Mixed_HDR-NHEJ%	Reads_aligned	Reads_total
R94	NA	NA	NA	NA	NA	0
R95	100.0	0.0	0.0	0.0	10.0	79
R96	18.367346938775512	81.63265306122449	0.0	0.0	49.0	64
R97	91.17647058823529	8.823529411764707	0.0	0.0	34.0	47
R98	69.56521739130434	30.434782608695656	0.0	0.0	23.0	35
R99	NA	NA	NA	NA	NA	0
R100	100.0	0.0	0.0	0.0	29.0	29
R101	95.83333333333334	4.166666666666666	0.0	0.0	24.0	29
R102	NA	NA	NA	NA	NA	0
R103	100.0	0.0	0.0	0.0	11.0	12
R104	100.0	0.0	0.0	0.0	9.0	56
R105	100.0	0.0	0.0	0.0	5.0	7
R106	100.0	0.0	0.0	0.0	9.0	56
R107	66.66666666666666	33.33333333333333	0.0	0.0	30.0	33
R108	100.0	0.0	0.0	0.0	11.0	12
R109	NA	NA	NA	NA	NA	0
R110	0.0	100.0	0.0	0.0	8.0	21
R111	NA	NA	NA	NA	NA	0
R112	75.70093457943925	24.299065420560748	0.0	0.0	107.0	280
R113	NA	NA	NA	NA	NA	0
R114	NA	NA	NA	NA	NA	0
R115	100.0	0.0	0.0	0.0	10.0	79
R116	100.0	0.0	0.0	0.0	2.0	2
R117	75.70093457943925	24.299065420560748	0.0	0.0	107.0	280
R118	NA	NA	NA	NA	NA	0
R119	NA	NA	NA	NA	NA	0
R120	100.0	0.0	0.0	0.0	10.0	79
R121	NA	NA	NA	NA	NA	0
R122	100.0	0.0	0.0	0.0	21.0	24
R123	100.0	0.0	0.0	0.0	11.0	101
R124	NA	NA	NA	NA	NA	0
R125	100.0	0.0	0.0	0.0	14.0	39
R126	100.0	0.0	0.0	0.0	16.0	16
R127	100.0	0.0	0.0	0.0	17.0	17
R128	100.0	0.0	0.0	0.0	8.0	8
R129	100.0	0.0	0.0	0.0	17.0	17
R130	100.0	0.0	0.0	0.0	8.0	8
R131	NA	NA	NA	NA	NA	0
R132	100.0	0.0	0.0	0.0	1.0	1
R133	100.0	0.0	0.0	0.0	31.0	31
R134	58.333333333333336	41.66666666666667	0.0	0.0	12.0	15
R135	NA	NA	NA	NA	NA	0
R136	100.0	0.0	0.0	0.0	27.0	29
R137	NA	NA	NA	NA	NA	0
