taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
B37,-14.4221430878423,0.0132662769288339,5.58923910551088,-5.49135113252287,2.96764199458951,1.6711836815387,0.326293571068807,24.1795639915328,-18.3498009715631,-4.67536963784305
B46,-7.10649959708815,-6.92220986029847,-3.74875934690379,-6.6927852008439,5.79190332809115,2.95748342287616,-0.860954691887032,1.03570086812128,4.17081260871268,1.7601503211005
B52,-2.01554961398901,-4.88656143804735,-0.0039889415288967,-5.25449252888016,4.44952449255173,1.68638097442373,-6.75670587310674,-1.47877806844663,0.970453716158495,-6.65406065948942
B57,0.376890544368375,-3.22768848095122,1.71460457636082,-4.12862976396748,0.556706558636362,-0.126627646372453,-0.549596923321076,3.965435329227,3.2503999041184,3.12716311302415
B64,-15.2061537476086,1.13442965612318,-24.7112908674188,3.06785224649008,-3.84427219005642,0.530373386599005,0.473698904338078,-0.759457965194064,0.00555039351087425,-1.15617173188702
B68,-19.7164696452784,0.14269668487843,-27.3859023466352,2.53918771413743,-3.22235981242061,0.570233454914062,1.77772400077173,-2.35441321314372,-3.37896819329004,-1.14869506398086
B73,-38.7609574097568,18.0248964215501,13.4773853332729,3.59069825724277,-0.289998900445354,-1.74931475740629,1.29486606999586,-8.74663431772025,7.68562849209504,1.89812941458684
B73HTRHM,-37.8747999554631,17.3680059742786,12.8935419208108,3.26816861787496,-0.401636271395344,-2.07343720065963,1.15443823805847,-8.18745700107831,7.20093333964926,2.14426359298214
B75,-1.34501164006886,-6.46955383784908,0.883095242903682,-0.123556176071361,2.75160661212905,2.10047439482308,4.77740643580272,-2.55834914860588,0.774663143089817,0.110510642565688
B76,-12.8771631267697,-0.375147394296035,5.66248198854678,-5.21397179155586,3.09508265521294,1.75068763189472,0.686417183073393,22.8755148267903,-17.6152029252446,-4.11155175542297
